,state_00,state_00_squared,state_01,state_01_squared,state_02,state_02_squared,state_03,state_03_squared,state_04,state_04_squared,state_05,state_05_squared,state_06,state_06_squared,state_07,state_07_squared,state_08,state_08_squared,v_au,x_au
0,(8.251170526115515e-19-1.66918193571528e-18j),3.466986485028582e-36,(-3.308956572189059e-18-3.285451601107618e-18j),2.1743385819853777e-35,(-8.1315329527592795e-25+2.6024598739713365e-18j),6.772797395631567e-36,(8.647277176357996e-30-1.5306827556392406e-18j),2.342989698411339e-36,(3.3181842217955203e-18+1.8599729399969036e-18j),1.4469845867293466e-35,(-1.3291197179785046e-17-9.09188178022729e-18j),2.593182367775549e-34,(-1.0188338579997754e-24+4.758225918648812e-19j),2.264071389300513e-37,(1.3330716761680052e-17+4.1808424838352164e-18j),1.951874532547789e-34,(1.251926234756264e-18-9.658363052781867e-18j),9.485129615661286e-35,6923.6077575509735,-9.448630627289141
1,(-6.2251325669768504e-18-1.5865647061400728e-18j),4.1269463043205135e-35,(-4.992914865543865e-18+8.662614429106784e-19j),2.56796077420426e-35,(1.6648257133524418e-18+3.8034538940048554e-18j),1.7237906179660162e-35,(2.7046240738965446e-26-2.6150591815880027e-18j),6.838534523207717e-36,(-6.675783864469386e-18-2.065035990912388e-18j),4.88304638488733e-35,(-1.3363176607030734e-25-1.49018403194493e-17j),2.2206484490636485e-34,(8.367797123984514e-18+5.189830625103666e-18j),9.695437062542744e-35,(3.0197529610080194e-25+3.1135589881837104e-18j),9.694249572899662e-36,(5.0374401917898435e-18-7.52526810876919e-18j),8.200546379471831e-35,6894.959757922121,-9.439398941282997
2,(-1.6698646009238123e-18-7.896703869561551e-19j),3.412027105453927e-36,(-1.446014634050432e-25+2.0931327067318343e-18j),4.381204527990556e-36,(1.6746845804339557e-18+1.2914933973247524e-18j),4.4725236392766845e-36,(-1.3423200558072125e-17+2.4246350556015575e-18j),1.8606116837507978e-34,(-3.357657252407177e-18-3.1074595236114204e-18j),2.093016691552583e-35,(-6.7192595183755e-26-7.466819209282768e-18j),5.575338910411415e-35,(4.208671880091285e-18-5.202593108100365e-18j),4.4779894042724527e-35,(1.3489293552606013e-17+2.4584134227116285e-18j),1.8800483710534684e-34,(-1.2668150849147742e-18-6.617169334892102e-18j),4.5391750466004013e-35,6866.399275613287,-9.430167255276851
3,(-5.8790260360369955e-18+7.33316172400401e-18j),8.833820800279834e-35,(-1.6840422891133993e-18+1.0001317119464775e-18j),3.8362618727632905e-36,(1.6845697274343232e-18+3.8086432591716905e-18j),1.734353864222211e-35,(2.7360842737269645e-26-4.314252954848099e-18j),1.861277855841555e-35,(-3.377476018780793e-18-1.0280761271389927e-17j),1.171013965767504e-34,(-1.3528694384066516e-17-1.8556820602150942e-17j),5.273811625978865e-34,(8.467020530590702e-19+2.913527646480925e-18j),9.205547713463123e-36,(1.3568920026798303e-17+6.887187910336272e-18j),2.3154894800593013e-34,(8.495300511121118e-18-1.690185887766927e-17j),3.5784296429490227e-34,6837.926134834599,-9.420935569270707
4,(-8.44803295535448e-19-1.231258534849171e-18j),2.2296901877864806e-36,(3.387904065394492e-18+4.0667036703608645e-19j),1.1643274743741792e-35,(-5.0834498483044265e-18+8.594808943686978e-18j),9.971220313870794e-35,(-1.3581896584631979e-17-9.593655665414013e-18j),2.7650614386216815e-34,(-3.3973532061593397e-18-3.083226754257449e-18j),2.1048296025570066e-35,(-6.798841723073525e-26-5.4238768703847735e-18j),2.941844030509493e-35,(-8.516857887259721e-19+9.439045479776112e-18j),8.982094825199963e-35,(1.3648770669681872e-17+4.549473459858419e-18j),2.069866495555243e-34,(5.127177031638719e-18-4.3840408996128776e-18j),4.5507758923242115e-35,6809.540159970483,-9.411703883264563
5,(4.673677437091404e-18+7.992666045299029e-20j),2.1849649057028437e-35,(5.111670524756945e-18+4.106095676190992e-18j),4.2989197255703305e-35,(1.2753498099337777e-24+1.2496544048460067e-17j),1.5616361315510434e-34,(-7.876201306277728e-31-1.0785908753765425e-17j),1.163358276445536e-34,(-2.0503699463012965e-17+3.866195884180651e-19j),4.205511663757067e-34,(-4.1043159662161173e-25-7.19593333222507e-18j),5.178145652182799e-35,(8.13848284692826e-18+1.4362378312003537e-17j),2.7251281382685506e-34,(1.3728844737820098e-17+2.6215598701166915e-18j),1.9535375398777684e-34,(8.59542684723687e-18-1.718532979839199e-17j),3.6921692296570007e-34,6781.241175579682,-9.402472197258417
6,(-9.402024620223036e-18-7.81688636225463e-18j),1.4950177935968253e-34,(-6.855423047297658e-18+2.152040009474323e-18j),5.162810135979816e-35,(-1.7205237093992535e-24+3.707736868084455e-18j),1.3747312682955682e-35,(-1.3741480195482437e-17-1.5116527860588841e-18j),1.9111337210843563e-34,(-8.593175985975695e-18-7.226796142872173e-18j),1.2606925601658146e-34,(-1.7199420342057351e-25-1.7031006941746307e-17j),2.900551974498109e-34,(7.539812626164934e-18+1.5085114183149697e-17j),2.844094443563403e-34,(2.720951663296471e-25-6.871349340552236e-18j),4.7215441759907727e-35,(1.3833115183091416e-17-1.0568347942065427e-17j),3.0304505389323275e-34,6753.029006395269,-9.393240511252273
7,(-1.1176271064991034e-17+2.920217025702236e-18j),1.3343670239535705e-34,(6.895392987711978e-18+4.747053139318831e-18j),7.008095796250427e-35,(1.7243910241147528e-18+1.2579452924705137e-17j),1.6121616028892017e-34,(1.3821602295133926e-17-4.947004502931006e-18j),2.1550954355687112e-34,(-2.2472523122226017e-17-1.904247473163575e-18j),5.086404539180327e-34,(-1.3848480654225588e-17-2.295411524069717e-17j),7.1867182291366655e-34,(1.2567397186387076e-17+7.210025651402467e-18j),2.0992394193429134e-34,(4.535514406206217e-25-6.2721301964678275e-18j),3.933961720144375e-35,(2.2609878766116126e-17-7.647746663451295e-18j),5.696946468467992e-34,6724.903477324609,-9.384008825246127
8,(-3.4588416388682598e-18-4.412204637074959e-18j),3.1431135242194637e-35,(-6.935475080947869e-18-6.224963293220705e-18j),8.685098260039401e-35,(5.203236410503553e-18+6.269610223957271e-18j),6.638168150393945e-35,(8.454584155450887e-26+5.119295299102967e-18j),2.6207184359417747e-35,(1.7387038922632164e-18+5.720469044818431e-18j),3.5746857317697146e-35,(-2.785795437304827e-17-5.529847013603742e-18j),8.066448298447014e-34,(3.4870181978348786e-18+8.023923717424548e-18j),7.654264773507978e-35,(2.794078626358768e-17+1.0961036058369628e-18j),7.818889801422186e-34,(2.0991975767709534e-17-2.1173654104551647e-17j),8.889866747713011e-34,6696.864413449406,-9.374777139239983
9,(-1.7394423897604592e-17-5.793272153768386e-19j),3.0290160275203405e-34,(5.231746613843202e-18-1.104217905171732e-17j),1.4930089084164463e-34,(1.744464441395395e-18+7.428927745987734e-18j),5.823212364239935e-35,(-1.398250136216024e-17-6.2102768411962805e-18j),2.3407788278711188e-34,(-1.5739014521123888e-17+5.194100138440815e-18j),2.746952543442995e-34,(-3.1503490952585054e-25-1.5363727728050544e-17j),2.360441297016692e-34,(3.507226762489524e-18+9.788207832349515e-18j),1.0810965213279116e-34,(2.810269628068157e-17+6.258007979979498e-19j),7.901531648830086e-34,(2.463255503558344e-17-1.1842744271495242e-17j),7.470133594610805e-34,6668.9116400256635,-9.365545453233839
10,(-8.74745445058486e-18+9.619910431539146e-18j),1.6906063607589255e-34,(-1.2277933445524973e-17-1.6295462947675856e-18j),1.5340307081953153e-34,(-8.772706617911967e-18+5.0257713720374026e-18j),1.0221875928794716e-34,(-1.4252580024432555e-25-2.6756240049791164e-18j),7.158963816020507e-36,(-5.276645061736143e-18+8.243072629721319e-18j),9.579122948640518e-35,(-2.818124836293704e-17-9.783206880150062e-18j),8.89893896153357e-34,(-1.7637459056964793e-18+6.340968293495311e-18j),4.3318678518973937e-35,(-6.360519795485364e-26-4.525256920628578e-18j),2.0477950197696844e-35,(1.0617792830327089e-17-1.2440282311054692e-17j),2.6749814856648555e-34,6641.044982483699,-9.356313767227693
11,(-4.398915451832176e-18+1.4356702178613053e-17j),2.2546535459776065e-34,(-3.528183555196112e-18-6.186644006271848e-18j),5.072264325949565e-35,(3.529289285906807e-18+1.0797338683228104e-17j),1.290384055039506e-34,(2.8288532880877156e-17-4.0228614750264085e-18j),8.164245069997195e-34,(-7.076041451528334e-18-4.089191891106707e-18j),6.679185294604005e-35,(-1.4171771953848585e-17-1.1776070737032603e-17j),3.3951496231548487e-34,(7.095603385428383e-18+2.913897757507215e-18j),5.883838754450831e-35,(2.5608701114906017e-25-3.7949383552306435e-18j),1.4401557120000725e-35,(1.4238587377122927e-17-2.0002941886626175e-17j),6.0285505461570824e-34,6613.264266428161,-9.347082081221549
12,(-4.424170301567068e-18-2.1049518897417355e-18j),2.4004105315395345e-35,(1.7742191249745063e-18-1.0506159234615848e-17j),1.1352723536652918e-34,(4.2315519006905995e-25+7.801271093146142e-18j),6.085983066875776e-35,(-1.3050387611854407e-29-2.1103413379706587e-18j),4.4535405627477896e-36,(-3.558334430913593e-18+3.9612153616934405e-18j),2.835297106394126e-35,(-7.122875576474955e-26-5.663860740462659e-18j),3.2079318487354225e-35,(1.784085356905619e-18+2.0918763560769815e-17j),4.407776294721161e-34,(2.859102772954571e-17-1.7843441885211312e-18j),8.20630750814761e-34,(1.4320337048869152e-17-2.5246325847976246e-17j),8.424490220154079e-34,6585.569317637997,-9.337850395215405
13,(-1.0233830263782634e-17+5.331866090752305e-18j),1.331600778776276e-34,(7.137495130999703e-18-1.9460639709692876e-18j),5.473100172414921e-35,(-8.924667602863265e-18+2.633730860451856e-18j),8.658623006689362e-35,(-1.450384850887893e-25-9.616505887156879e-18j),9.247718547772294e-35,(-1.431480025832892e-17+7.926119055171156e-18j),2.6773686971260105e-34,(-1.4334710230677584e-17-1.8414861119463097e-17j),5.445910274466063e-34,(7.177184176830585e-18+1.3186150743677508e-17j),2.2538654414313423e-34,(2.5903133894145336e-25-4.7726732504279166e-18j),2.2778409955350242e-35,(2.160344056872575e-17-1.3697314720185568e-17j),6.543250749502777e-34,6557.959962066474,-9.328618709209259
14,(-1.7004538093996104e-17+7.117571402658833e-18j),3.3981413846211142e-34,(3.589108391559452e-18-3.442633188617212e-18j),2.473342231773119e-35,(8.300219085503432e-25+6.97965464937487e-18j),4.871557902454093e-35,(-1.4388517713233697e-17-4.4372732549332524e-18j),2.267188359229858e-34,(-1.1697137158056855e-17-4.180332044716852e-18j),1.54298193698481e-34,(-1.4416498326736824e-17-1.9219348582159838e-17j),5.77218783927375e-34,(3.609066613705219e-18+2.800434639424002e-17j),7.972687787907455e-34,(1.302659949968167e-25-1.1266447409065006e-17j),1.2693283722122759e-34,(2.1726701200552288e-17-5.200953537347382e-18j),4.990994627557265e-34,6530.436025841183,-9.319387023203115
15,(-1.9801456489778213e-17+1.1599529133052935e-17j),5.266467552251234e-34,(1.8047604316401877e-18-3.8913692687680555e-18j),1.839991500152651e-35,(1.083197081047715e-17+9.263224265382316e-18j),2.031389154297968e-34,(1.75944893170697e-25-1.0201479383523696e-17j),1.0407018161245904e-34,(-2.5337130347225477e-17+6.961764757552518e-18j),6.904363427717944e-34,(-1.449849792063305e-17-2.9535363234425335e-17j),1.0825441233440445e-33,(1.4518381550133165e-17+1.0421400479833407e-17j),3.1938899079631907e-34,(1.4541607190997537e-17-1.0420672414980079e-17j),3.20048753277598e-34,(2.913370868802524e-17-1.5049789895291204e-17j),1.0752691578111267e-33,6502.99733526402,-9.31015533719697
16,(-1.1767206824129843e-17+6.759545817171554e-18j),1.841586160962894e-34,(-5.444987522298469e-18-6.967453524889013e-18j),7.819329773947434e-35,(1.8155635900476364e-18+1.1047748307071363e-18j),4.5167985760706444e-36,(-1.455240761817371e-17-2.423214197572478e-18j),2.1764453453279705e-34,(-4.550143703907557e-18+3.7548155493203314e-18j),3.4802447535627323e-35,(-9.10615263754357e-26-1.2703841482875145e-17j),1.6138758842201935e-34,(1.0950528550696394e-17+1.4639678553990873e-17j),3.342342637037971e-34,(1.4624060819451058e-17-5.029190474337059e-19j),2.141160824192751e-34,(1.4649452220371626e-17-1.7461273604113386e-17j),5.195025262346579e-34,6475.643716811193,-9.300923651190825
17,(-1.3654294058421798e-17+1.414077548552044e-17j),3.864012775657487e-34,(3.650508515664489e-18-9.01510662270071e-18j),9.459835984160116e-35,(3.651655930640835e-18-7.311349458900625e-19j),1.3869149344886044e-35,(5.929314237047965e-26-1.225955247031129e-18j),1.5029662677231604e-36,(-1.1897241690116842e-17+2.8791890992193945e-18j),1.4983408970211807e-34,(-1.466312510540837e-17-1.5404049620810916e-17j),4.522919825772621e-34,(7.34161683010282e-18+1.6260181086806098e-17j),3.1829282665577574e-34,(2.9413447500056584e-17-9.620903738057478e-18j),9.577126825755533e-34,(2.2098389378204123e-17-1.047839964723669e-17j),5.9813567227793475e-34,6448.374997133244,-9.29169196518468
18,(-1.2358111607305851e-17+3.5898884891695976e-18j),1.6561022186330001e-34,(-7.342161236690803e-18-1.2028418925540531e-17j),1.9859019347386663e-34,(3.6722300639462725e-18+1.4361315128021085e-17j),2.1973264584887817e-34,(-1.471713115262585e-17-4.658739096469878e-18j),2.3829779933256726e-34,(-9.203307926209842e-19+1.2188365635143448e-17j),1.4940326562379213e-34,(-1.8401336540810933e-26-7.839930047233843e-18j),6.146450314552005e-35,(-7.022803849674539e-30+1.616322458195131e-17j),2.612498288865951e-34,(1.7996276890826205e-33-1.1159271473670052e-18j),1.2452933982306618e-36,(2.2222908485230788e-17-8.302896889936459e-18j),5.627957583078591e-34,6421.191003055012,-9.282460279178537
19,(-1.6570042078359105e-17+6.590692227441818e-18j),3.1800351851545327e-34,(7.383402282346426e-18-1.8340142555915116e-18j),5.78782375526713e-35,(-7.38571855230059e-18+1.6009046083402772e-18j),5.711173409880228e-35,(1.4799802504085424e-17+3.7458480810176314e-19j),2.1917446793839383e-34,(-1.0643239344448486e-17+6.3973324465370585e-18j),1.5420440617473204e-34,(-2.130726861232143e-25-1.2089833069642147e-17j),1.461640636518129e-34,(2.227338116194852e-17+2.25837401959114e-18j),5.012037615978075e-34,(8.037970768387194e-25-1.372720708796824e-17j),1.8843621443596613e-34,(1.4898495029278507e-17+1.4480267733761098e-19j),2.2198612195280055e-34,6394.091561575651,-9.27322859317239
20,(-1.2497123491824509e-17+4.2661273747474146e-18j),1.7437793834748127e-34,(9.2809357241113e-18-2.7442138459444128e-18j),9.366647754735836e-35,(-3.713537261910337e-18-4.9017281761313556e-18j),3.7817298108276547e-35,(1.488267878648317e-17-7.732783670215432e-18j),2.812900711519866e-34,(-6.980112253525916e-18+4.793474709619793e-18j),7.169936686358721e-35,(-1.3974558728852762e-25-1.845591386244416e-17j),3.4062075649795853e-34,(7.466036025042595e-18+9.780032065636506e-18j),1.5139072113211213e-34,(1.495595807388424e-17-4.339139620355097e-18j),2.425088145527186e-34,(1.4981925874870077e-17-6.5709368459818e-18j),2.676353139539828e-34,6367.076499868649,-9.263996907166247
21,(-1.8152169220792167e-17+4.150367163062902e-18j),3.4672679500850533e-34,(9.332744355981364e-18-4.680201065223403e-18j),1.0900439922502027e-34,(-5.6014022485298346e-18-8.425448500240932e-18j),1.0236388958004727e-34,(-9.106564760970697e-26-9.56620945518757e-18j),9.151236334052006e-35,(-1.0294649048811975e-17+1.3067274942493035e-17j),2.7673347346091163e-34,(-1.49948617693872e-17-1.526537568939022e-17j),4.578775744212558e-34,(2.252314024171705e-17+9.998696774787435e-18j),6.0726578354219865e-34,(8.12834002968355e-25-7.829133290908635e-18j),6.129532808681453e-35,(2.259833661668214e-17-3.2855804828926503e-18j),5.21479856950442e-34,6340.145645281784,-9.2547652211601
22,(-2.1529395680344176e-17-4.446356001345763e-18j),4.832849600515259e-34,(9.384679381610009e-18-7.66469547479548e-18j),1.4681976381696633e-34,(6.571340279630991e-18-1.2323863819300854e-17j),1.9506013250737337e-34,(-3.009808158022274e-17-1.1379069674040618e-17j),1.0353777414564141e-33,(-1.0351940096606791e-17-2.9622773274833263e-18j),1.1593775072865717e-34,(-2.0717592310195866e-25-2.0742715055174938e-17j),4.302602278601811e-34,(3.0197972350605175e-17+1.0337580863653127e-17j),1.018783112200482e-33,(1.0897780510204861e-24-1.472455180526072e-17j),2.168124258658079e-34,(2.2724092938510258e-17-1.8707434294920806e-17j),8.66352497776831e-34,6313.298825337174,-9.245533535153957
23,(-2.4943215127300954e-17+9.017161836228614e-18j),7.034731884675529e-34,(-2.159950817596585e-24-3.0020263898374497e-18j),9.012162445285137e-36,(-8.04786759722427e-26-7.637549286455066e-18j),5.833215910303029e-35,(-3.0265048307834706e-17-9.165801210366758e-18j),9.999850609035291e-34,(-2.4603953527932215e-17+6.4545690256364495e-18j),6.470159905113534e-34,(-4.924659300266354e-25-3.0783333720627894e-17j),9.476136349555467e-34,(2.2774119829870247e-17+1.2218380425205826e-17j),6.679493542403421e-34,(8.218676305524392e-25-1.0826375476273813e-17j),1.1721040595326369e-34,(3.046687062150926e-17-1.554611072887627e-17j),1.169911764262266e-33,6286.535867731235,-9.236301849147813
