,psi_00,psi_01,psi_02,psi_03,psi_04,psi_05,psi_06,psi_07,psi_08,psi_squared_0,psi_squared_1,psi_squared_2,psi_squared_3,psi_squared_4,psi_squared_5,psi_squared_6,psi_squared_7,psi_squared_8,v_ev,z_ang
0,(3.5429162228968666e-13-9.203169619229676e-15j),(-2.163805824990719e-14-7.350425019662378e-16j),(3.6346851000813332e-12+7.50820876681177e-15j),(-2.7204114332147715e-13-1.290349986857114e-15j),(7.395067975003976e-11-5.540179188740666e-15j),(-7.624822032529282e-12+2.1570519016946265e-15j),(6.092463922068106e-09+8.340521859061394e-15j),(-1.4976089274097742e-09-2.4680802736946545e-15j),(0.00018923255088591648+6.064734300380216e-14j),1.256072519556983e-25,4.687458523060734e-28,1.3210992149952138e-23,7.400804866274506e-26,5.468703066186526e-21,5.813791568061687e-23,3.7118116641771054e-17,2.2428324994635457e-18,3.580895831479097e-08,1.0,-75.0
1,(3.547682050476765e-13-9.125675649906453e-15j),(-4.155540238005775e-14-8.280712560662845e-16j),(3.639470741459413e-12+7.472525433108226e-15j),(-7.215276921476767e-13-1.1842803221519898e-15j),(7.403352951131503e-11-5.421087775212041e-15j),(-2.276515939369731e-11+1.9920022205094302e-15j),(6.097698411920033e-09+8.321303091895626e-15j),(-4.493707332877084e-09-2.4690758530707565e-15j),(0.0001892841916183604+6.05148223206027e-14j),1.2594375726881755e-25,1.7275371689736325e-27,1.3245803116575475e-23,5.20603613055834e-25,5.480963521290946e-21,5.182524861885178e-22,3.718192592280134e-17,2.019340559355937e-17,3.582850519661618e-08,1.0,-74.92672203224231
2,(3.5579762380493475e-13-9.044143058584043e-15j),(-1.0402568051123629e-13-9.161269523845245e-16j),(3.6490420241501805e-12+7.434371391834662e-15j),(-1.2570512868548162e-12-1.1190334159954178e-15j),(7.419962955071382e-11-5.293679127906033e-15j),(-3.80548707655413e-11+1.7790045476123254e-15j),(6.108171971045524e-09+8.295186037060381e-15j),(-7.493077363435673e-09-2.463148414625602e-15j),(0.00018938748343272802+6.037018670789276e-14j),1.26673745628902e-25,1.0822181494418689e-26,1.3315562963892034e-23,1.5801791900191357e-24,5.505585053486202e-21,1.4481731921469071e-21,3.7309764827934974e-17,5.614620837443818e-17,3.586761888098183e-08,1.0,-74.8534440644846
3,(3.572083087685848e-13-8.985013490330195e-15j),(-1.24149978010157e-13-1.0174494698397229e-15j),(3.663132020073618e-12+7.410760904053974e-15j),(-1.70894558262753e-12-1.03966329970927e-15j),(7.444844584631378e-11-5.1747509246858856e-15j),(-5.3256585966945144e-11+1.5636834172128376e-15j),(6.12389228906007e-09+8.28475241609338e-15j),(-1.0497468944310626e-08-2.4803818184546084e-15j),(0.0001895424470272722+6.023785509632544e-14j),1.2767850632073402e-25,1.5414252243346145e-26,1.3418591115865802e-23,2.9204960852819246e-24,5.5425711157095634e-21,2.8362639512997245e-21,3.7502056768078026e-17,1.101968542367722e-16,3.5926339225086286e-08,1.0,-74.78016609672692
4,(3.5926714628310114e-13-8.92312681109584e-15j),(-1.8694107482167447e-13-1.1137743963678366e-15j),(3.682369916964849e-12+7.383617605819089e-15j),(-2.248084224181734e-12-9.427018498646776e-16j),(7.47813134529991e-11-5.044103661742158e-15j),(-6.863844875000995e-11+1.3955467383183349e-15j),(6.144873829303461e-09+8.265558894615204e-15j),(-1.3509285423500944e-08-2.487255260027012e-15j),(0.0001897491134554532+6.010182408997883e-14j),1.2915250459049008e-25,3.4948205948888897e-26,1.355990272317666e-23,5.053883567701567e-24,5.592244867198687e-21,4.711236648755294e-21,3.775947437812691e-17,1.825007926536213e-16,3.600472605713045e-08,1.0,-74.70688812896923
5,(3.61630996762731e-13-8.883169127905118e-15j),(-2.074961093788775e-13-1.2184992579513672e-15j),(3.70593586413475e-12+7.368214036714608e-15j),(-2.7048011646600483e-12-8.764326659681716e-16j),(7.519716432750534e-11-4.923811320814169e-15j),(-8.396315570050664e-11+1.2089947473564002e-15j),(6.171131913763901e-09+8.262520692522136e-15j),(-1.653028473645015e-08-2.5019938799397243e-15j),(0.00019000752412276902+5.997135936726978e-14j),1.3085588851336131e-25,4.3056120147812727e-26,1.3734014919658265e-23,7.315950108480572e-24,5.654613547141759e-21,7.049811516649191e-21,3.8082869097143574e-17,2.7325031346812303e-16,3.610285922326465e-08,1.0,-74.63361016121154
6,(3.647001897241859e-13-8.844342667584993e-15j),(-2.708233933998751e-13-1.3254992197541169e-15j),(3.734859441544732e-12+7.354127563038291e-15j),(-3.249975113963599e-12-7.794496953202895e-16j),(7.569824899098629e-11-4.778667363479679e-15j),(-9.949899602695812e-11+1.0192777592819264e-15j),(6.202690679809186e-09+8.267128494600719e-15j),(-1.9562880986798846e-08-2.485016529803261e-15j),(0.00019031773079984286+5.985684449939802e-14j),1.3308445078207887e-25,7.334706736080506e-26,1.394922913128804e-23,1.0562338848924535e-23,5.730224923137019e-21,9.900050211411555e-21,3.84733716694601e-17,3.8270631250366198e-16,3.6220838656801456e-08,1.0,-74.56033219345383
7,(3.6807439565075435e-13-8.815962067290235e-15j),(-2.920516407867588e-13-1.4551746685755749e-15j),(3.767958538817871e-12+7.341008708040362e-15j),(-3.713959689993186e-12-6.949740927338521e-16j),(7.628294630621703e-11-4.652320775896556e-15j),(-1.150088260787115e-10+8.594570506539295e-16j),(6.239573062719359e-09+8.252075237524389e-15j),(-2.260884545836632e-08-2.4689499795246912e-15j),(0.00019067979561682944+5.971163197165991e-14j),1.3555648192083992e-25,8.529627841955403e-26,1.4197565440659355e-23,1.3793497061883268e-23,5.819087918801279e-21,1.3227030076741977e-20,3.893227200508114e-17,5.111598929602974e-16,3.635878445647585e-08,1.0,-74.48705422569614
8,(3.7219207067978706e-13-8.782840985127465e-15j),(-3.5620227005609146e-13-1.5387652969185074e-15j),(3.806777526035242e-12+7.31425185610003e-15j),(-4.267668165020227e-12-6.263998172532743e-16j),(7.69544985493129e-11-4.520211103960122e-15j),(-1.3076114847979338e-10+6.908462325675781e-16j),(6.281813160103919e-09+8.206852391008329e-15j),(-2.5670608365888984e-08-2.5245619959596503e-15j),(0.00019109379108363234+5.951653905945652e-14j),1.3860407577267762e-25,1.2688242499175172e-25,1.449160863100721e-23,1.8212991959103847e-23,5.9219948674085105e-21,1.7098477952231842e-20,3.9461176578522137e-17,6.58980133874856e-16,3.6516836990714924e-08,1.0,-74.41377625793845
9,(3.7653850543265485e-13-8.761308075038191e-15j),(-3.783348865362982e-13-1.6385286083318523e-15j),(3.849657635369526e-12+7.306377788271512e-15j),(-4.741406484792543e-12-5.327729692374879e-16j),(7.771061705593566e-11-4.404492658476907e-15j),(-1.4651893165265717e-10+5.08934577555901e-16j),(6.329441596858774e-09+8.180086394475061e-15j),(-2.874995978588641e-08-2.5045996226917557e-15j),(0.0001915598000816571+5.93413307705076e-14j),1.4185800659264317e-25,1.4313997114643395e-25,1.4819917292715277e-23,2.2480935737879816e-23,6.038940022613834e-21,2.146779733289504e-20,4.006183092811306e-17,8.265601876900919e-16,3.669515700732443e-08,1.0,-74.34049829018075
